dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|klpid|check
bangalore u south|south1|ganapathyhalli|bangalore u south|south1|ganapathyhalli|8901|1
bangalore u south|south1|hosakerehalli|bangalore u south|south1|hosakerehalli|8951|1
bangalore u south|south1|huluvenahalli|bangalore u south|south1|huluvenahalli|8982|1
bangalore u south|south1|kagglipura|bangalore u south|south1|kagglipura|8950|1
bangalore u south|south1|karisandra|bangalore u south|south1|karisandra|8969|1
bangalore u south|south1|kengeri|bangalore u south|south1|kengeri|8927|1
bangalore u south|south1|k.gollahalli|bangalore u south|south1|k.gollahalli|9173|1
bangalore u south|south1|mallatha halli|bangalore u south|south1|mallatha halli|8968|1
bangalore u south|south1|ramasandra|bangalore u south|south1|ramasandra|8936|1
bangalore u south|south1|ramohalli|bangalore u south|south1|ramohalli|9156|1
bangalore u south|south1|sarakki|bangalore u south|south1|sarakki|9168|1
bangalore u south|south1|somanahalli|bangalore u south|south1|somanahalli|9158|1
bangalore u south|south1|sri nagara|bangalore u south|south1|sri nagara|8943|1
bangalore u south|south1|sunkada katte janatha col|bangalore u south|south1|sunkada katte janatha col|8983|1
bangalore u south|south1|tavarekere|bangalore u south|south1|tavarekere|8910|1
bangalore u south|south1|utara halli|bangalore u south|south1|utara halli|8956|1
bangalore u south|south1|vajara halli|bangalore u south|south1|vajara halli|8961|1
bangalore u south|south1|vasanthapura|bangalore u south|south1|vasanthapura|9167|1
bangalore u south|south1|veerabhadranagara|bangalore u south|south1|veerabhadranagara|8965|1
bangalore u south|south2|arundhathinagara|bangalore u south|south2|arundhathinagara|8985|1
bangalore u south|south2|attiguppe|bangalore u south|south2|attiguppe|9159|1
bangalore u south|south2|bapujinagara|bangalore u south|south2|bapujinagara|9160|1
bangalore u south|south2|binnipete|bangalore u south|south2|binnipete|9169|1
bangalore u south|south2|chikkapete|bangalore u south|south2|chikkapete|8984|1
bangalore u south|south2|goripalya|bangalore u south|south2|goripalya|9171|1
bangalore u south|south2|govindaraja nagara|bangalore u south|south2|govindaraja nagara|8986|1
bangalore u south|south2|hosahalli|bangalore u south|south2|hosahalli|8911|1
bangalore u south|south2|kalasipalya|bangalore u south|south2|kalasipalya|8928|1
