dise dist|dise block|dise_cluster|klp dist|klp block|klp_cluster|check
bangalore u south|south1|k.gollahalli|bangalore u south|south1|k.gollahalli|9173|1.0
bangalore u south|south1|mallatha halli|bangalore u south|south1|mallatha halli|8968|1.0
bangalore u south|south1|ramasandra|bangalore u south|south1|ramasandra|8936|1.0
bangalore u south|south1|ramohalli|bangalore u south|south1|ramohalli|9156|1.0
bangalore u south|south1|sarakki|bangalore u south|south1|sarakki|9168|1.0
bangalore u south|south1|somanahalli|bangalore u south|south1|somanahalli|9158|1.0
bangalore u south|south1|sri nagara|bangalore u south|south1|sri nagara|8943|1.0
bangalore u south|south1|sunkada katte janatha col|bangalore u south|south1|sunkada katte janatha col|8983|1.0
bangalore u south|south1|tavarekere|bangalore u south|south1|tavarekere|8910|1.0
bangalore u south|south1|utara halli|bangalore u south|south1|utara halli|8956|1.0
bangalore u south|south1|vajara halli|bangalore u south|south1|vajara halli|8961|1.0
bangalore u south|south1|vasanthapura|bangalore u south|south1|vasanthapura|9167|1.0
bangalore u south|south1|veerabhadranagara|bangalore u south|south1|veerabhadranagara|8965|1.0
bangalore u south|south2|arundhathinagara|bangalore u south|south2|arundhathinagara|8985|1.0
bangalore u south|south2|attiguppe|bangalore u south|south2|attiguppe|9159|1.0
bangalore u south|south2|bapujinagara|bangalore u south|south2|bapujinagara|9160|1.0
bangalore u south|south2|binnipete|bangalore u south|south2|binnipete|9169|1.0
bangalore u south|south2|chikkapete|bangalore u south|south2|chikkapete|8984|1.0
bangalore u south|south2|goripalya|bangalore u south|south2|goripalya|9171|1.0
bangalore u south|south2|govindaraja nagara|bangalore u south|south2|govindaraja nagara|8986|1.0
bangalore u south|south2|hosahalli|bangalore u south|south2|hosahalli|8911|1.0
bangalore u south|south2|kalasipalya|bangalore u south|south2|kalasipalya|8928|1.0
bangalore u south|south2|k.p.agrahara|bangalore u south|south2|k.p.agrahara|8920|1.0
bangalore u south|south2|urdu gangondanhalli|bangalore u south|south2|urdu gangondanhalli|9170|1.0
bangalore u south|south3|begur|bangalore u south|south3|begur|8893|1.0
bangalore u south|south3|dommaluru|bangalore u south|south3|dommaluru|8990|1.0
bangalore u south|south3|gottigere|bangalore u south|south3|gottigere|8921|1.0
bangalore u south|south3|gurappanapalya|bangalore u south|south3|gurappanapalya|9510|1.0
bangalore u south|south3|hongasandra|bangalore u south|south3|hongasandra|9162|1.0
bangalore u south|south3|konana kunte|bangalore u south|south3|konana kunte|8929|1.0
bangalore u south|south3|lalbagh siddapura|bangalore u south|south3|lalbagh siddapura|8989|1.0
bangalore u south|south3|madivala|bangalore u south|south3|madivala|8937|1.0
bangalore u south|south3|singasandra|bangalore u south|south3|singasandra|9163|1.0
bangalore u south|south3|urdu1|bangalore u south|south3|urdu1|9537|1.0
bangalore u south|south3|urdu2|bangalore u south|south3|urdu2|9538|1.0
bangalore u south|south3|wilson garden|bangalore u south|south3|wilson garden|9509|1.0
bangalore u south|south3|yadiyur|bangalore u south|south3|yadiyur|8988|1.0
bangalore u south|south3|yellukunte|bangalore u south|south3|yellukunte|8944|1.0
bangalore u south|south4|bidarahalli|bangalore u south|south4|bidarahalli|9164|1.0
bangalore u south|south4|channasandra|bangalore u south|south4|channasandra|8897|1.0
bangalore u south|south4|dodda kannahalli|bangalore u south|south4|dodda kannahalli|8907|1.0
bangalore u south|south4|hoodi|bangalore u south|south4|hoodi|8916|1.0
bangalore u south|south4|immadihalli|bangalore u south|south4|immadihalli|9010|1.0
bangalore u south|south4|jeevan bima nagar|bangalore u south|south4|jeevan bima nagar|8925|1.0
bangalore u south|south4|jodihuskar|bangalore u south|south4|jodihuskar|9011|1.0
bangalore u south|south4|kodihalli|bangalore u south|south4|kodihalli|9620|1.0
bangalore u south|south4|k r pura|bangalore u south|south4|k r pura|8933|1.0
bangalore u south|south4|kyalasana halli|bangalore u south|south4|kyalasana halli|8940|1.0
bangalore u south|south4|marath halli|bangalore u south|south4|marath halli|8947|1.0
bangalore u south|south4|medahalli|bangalore u south|south4|medahalli|9176|1.0
bangalore u south|south4|ramamurthy nagar|bangalore u south|south4|ramamurthy nagar|9009|1.0
bangalore u south|south4|thanisandra|bangalore u south|south4|thanisandra|8954|1.0
bangalore u south|south4|urdu hoodi|bangalore u south|south4|urdu hoodi|9617|1.0
bangalore u south|south4|urdu k r pura|bangalore u south|south4|urdu k r pura|9618|1.0
bangalore u south|south4|varthur|bangalore u south|south4|varthur|8963|1.0
bangalore u south|south4|vimanapura|bangalore u south|south4|vimanapura|9619|1.0
belgaum|bailhongal|ambadgatti|belgaum|bailhongal|ambadgatti|658|1.0
belgaum|bailhongal|belavadi|belgaum|bailhongal|belavadi|660|1.0
belgaum|bailhongal|hanabarhatti|belgaum|bailhongal|hanabarhatti|661|1.0
belgaum|bailhongal|kittur|belgaum|bailhongal|kittur|662|1.0
belgaum|bailhongal|m.k.hubli|belgaum|bailhongal|m.k.hubli|663|1.0
belgaum|bailhongal|neginhal|belgaum|bailhongal|neginhal|659|1.0
belgaum|bailhongal|nesargi|belgaum|bailhongal|nesargi|664|1.0
belgaum|bailhongal|sampagaon|belgaum|bailhongal|sampagaon|665|1.0
